DATE,VALUE
2006-12-26,.
2006-12-27,0.70153
2006-12-28,-0.14788
2006-12-29,-0.45131
2007-01-01,.
2007-01-02,.
2007-01-03,.
2007-01-04,0.12283
2007-01-05,-0.60846
2007-01-08,0.22203
2007-01-09,-0.05167
2007-01-10,0.19404
2007-01-11,0.63399
2007-01-12,0.48531
2007-01-15,.
2007-01-16,.
2007-01-17,-0.08939
2007-01-18,-0.29707
2007-01-19,0.28955
2007-01-22,-0.52779
2007-01-23,0.35419
2007-01-24,0.85015
2007-01-25,-1.12698
2007-01-26,-0.12079
2007-01-29,-0.10969
2007-01-30,0.57721
2007-01-31,0.65929
2007-02-01,0.53538
2007-02-02,0.16944
2007-02-05,-0.09666
2007-02-06,0.06980
2007-02-07,0.13950
2007-02-08,-0.11793
2007-02-09,-0.70772
2007-02-12,-0.32613
2007-02-13,0.75975
2007-02-14,0.76441
2007-02-15,0.10376
2007-02-16,-0.08718
2007-02-19,.
2007-02-20,.
2007-02-21,-0.14044
2007-02-22,-0.08576
2007-02-23,-0.35636
2007-02-26,-0.12541
2007-02-27,-3.47254
2007-02-28,0.55610
2007-03-01,-0.25945
2007-03-02,-1.14028
2007-03-05,-0.94076
2007-03-06,1.54936
2007-03-07,-0.24652
2007-03-08,0.71266
2007-03-09,0.06848
2007-03-12,0.26731
2007-03-13,-2.03683
2007-03-14,0.66911
2007-03-15,0.36838
2007-03-16,-0.38283
2007-03-19,1.08944
2007-03-20,0.63335
2007-03-21,1.70808
2007-03-22,-0.03484
2007-03-23,0.10944
2007-03-26,0.09679
2007-03-27,-0.61843
2007-03-28,-0.79658
2007-03-29,0.37397
2007-03-30,-0.11740
2007-04-02,0.25970
2007-04-03,0.92801
2007-04-04,0.11128
2007-04-05,0.30499
2007-04-06,.
2007-04-09,.
2007-04-10,0.26166
2007-04-11,-0.65728
2007-04-12,0.62063
2007-04-13,0.34881
2007-04-16,1.07513
2007-04-17,0.20498
2007-04-18,0.06932
2007-04-19,-0.12020
2007-04-20,0.92607
2007-04-23,-0.23040
2007-04-24,-0.03511
2007-04-25,1.01391
2007-04-26,-0.07824
2007-04-27,-0.01205
2007-04-30,-0.78310
2007-05-01,0.26512
2007-05-02,0.64724
2007-05-03,0.43251
2007-05-04,0.21499
2007-05-07,0.25637
2007-05-08,-0.11660
2007-05-09,0.32234
2007-05-10,-1.39563
